Customer
Cox Enterprises
Crossnet
Crossnet S.A.
CS Infocomm Computers Trading LLC
Customer Driven Solutions
Customer Driven Solutions Pty Ltd
Customer Experience Yazilim Danismalik Ticaret LTD
CXLOGIQ LIMITED
CXP LAB PTE LTD
Datacom Connect Pty Ltd
DEKRA SE
deliberate GmbH
Dexcom International Limited
"Dexcom, Inc."
DXC Connect Pty Limited
E-Business Distribution Peru S.A.
Edith Cowan University
EFF S.A. de C.V.
Electrolux IT Solutions AB
eleven (GEMA Consulting Ireland Limited)
Encova -Motorists Insurance Group
Encova Mutual Insurance Group
ESRI
Ethan Global Pty Ltd (t/a Ethan)
Eventus Solutions Group
Everlon Corporation
"Evolutio Cloud Enabler, S.A."
Export Development Canada
EY Global Services Limited
Fiebig GmbH
FLIGHT CENTRE TRAVEL GROUP LIMITED
Foehn Ltd.
Fourth Dimension Systems LLC
"Franklin Templeton Companies, LLC"
Freedom Financial Network
"Freedom Financial Network, LLC"
Frontline Services B.V.
Frontline Solutions
Frontline Solutions B.V.
Gates Corporation
GEMA Consulting Ireland Limited
"Generac Power Systems, Inc."
Global Speech Networks Pty Ltd (Australia)
Gold Vois Convergence Solutions Sdn Bhd
Grupo Interastar S.A. de C.V.
Hadef Information Technology Co.
Heineken International
Heineken International B.V.
Humana Inc.
i3Vision Technologies Inc.
IBM Svenska AB
IG Index Limited
IKEA IT AB
Imagine Learning LLC
In Motion Argentina S.A.
In Motion Servicios S.A.
"Independent Health Association, Inc."
Indra Italia spa
"INDRA SISTEMAS MÉXICO, S.A. DE C.V.,"
"Indra Soluciones Tecnologías de la Información, S.L."
INDRA SOLUCIONES TI S.L.
"Inetum España, S.A.U."
Inetum SA
InfinIT.cx GmbH
Inflow Communications
InflowCX
"Infosite, S.A. de C.V."
Infosys Limited
"Infosys McCamish Systems, LLC"
Integration Services and Technologies Company
Intel
Intel Corporation
Interacciones Inteligentes S.A.
Interaxa Colombia S.A.
Interaxa S.A.
Intracom S.A. Telecom Solutions
INTRACOM SINGLE MEMBER S.A. TELECOM SOLUTIONS.
IP Integration Limited
IREN S.p.A.
IST Egypt
IST Integration Services And Technologies Co.
ITNAV-Pro Ltd.
ITNavPro
"J. B. Hunt Transport, Inc."
Johnson & Johnson
"Johnson & Johnson Services, Inc."
Just Retirement Management Services Limited
Kansas City Chiefs
Kennametal Inc.
Kerv Experience Limited
KHIDMAH SOLE PROPRIETORSHIP LLC
Knauf Information Services GmbH
Konecta Gestión Integral de Procesos SL
"Kore.ai, Inc"
Kornit Digital Ltd
KPN B.V.
"Lexmark International, Inc."
Limitless Ventures LLC
LongView Systems Corporation
"Lumen Technologies Service Group, LLC"
Lutech S.p.A.
Luxottica Group S.p.A.
Luxottica of America Inc.
Massachusetts Mutual Life Insurance Company
Master Control
"Max-IS, Inc."
Mellon Technologies Systems and Services Commercial S.A.
MicroStrategy
Microstrategy Incorporated
Miele & Cie. KG
Motorola Solutions Inc
"Motorola Solutions, Inc. EMB/GPS Call Center"
"MVP Health Plan, Inc."
"NCR Corporation, Abu Dhabi"
New York University
Nexon Asia Pacific
Nexon Asia Pacific Pty. Ltd.
Next Holdings Ltd
Nissan North America
Noventiq International Colombia SAS
Noventiq International Costa Rica Sociedad Anonima
NTT (Thailand) Limited
NTT Australia Pty Ltd.
NTT Belgium NV/SA
NTT France SASU
NTT Germany AG & Co. KG
NTT Hungary Trading and Service Ltd
NTT Italia S.P.A.
NTT Malaysia Solutions Sdn Bhd
NTT Netherlands B.V.
NTT Singapore Pte. Ltd
NTT Singapore Pte. Ltd.
NTT Singapore Solutions Pte. Ltd.
NTT Slovakia s.r.o.
NTT Solutions (Thailand) Limited
Nuuday A/S
NXO FRANCE SASU
O.C. Tanner
Odilum Technologies Limited
One New Zealand Group Limited
Open Digital Services SL
Orange Business Holdings Uk Limited
ORANGE BUSINESS NETHERLANDS B.V.
Orange Business Services
Orange Business Services Hong Kong Ltd
Orange Business Services International LTD
ORANGE BUSINESS SERVICES SINGAPORE PTE LTD
Orange Business Switzerland AG
Orange SA
Origina Inc.
OTR Leasing
"Packet Fusion, Inc."
Paxyl Solutions
PepsiCo Business Solutions Group
PepsiCo Inc.
Perfect Presentation Telecommunication
Performance Technology Partners
PETRO GABON SA
PFU America Inc.
Pinnacle Financial Partners
"Pinnacle Financial Partners, Inc."
Pivotal Data (Pty) Ltd
Pointel
Pointel (formerly Touch Point)
Powernet Global Telecommunications
Prada S.p.A.
Premera Blue Cross
PricewaterhouseCoopers LLP USA
PricewaterhouseCoopers Services Limited
Probe Contact Solutions Australia P/L
Probe Contact Solutions Australia Pty Limited
Promotora Kranon S.A. de C.V.
Protiviti Member Firm Peru SAC
Providence Health & Services
Provis Real Estate Management - Sole Proprietorship LLC
Provis Realestate Management - Sole Proprietorship LLC
Proximus PLC
Pyrios Limited
Radiant Communication Sdn.Bhd.
Rainmaker Customer Experiences Oy
Redington Gulf FZE
Rush System for Health d/b/a Rush University System for Health
SABIO FRANCE SAS
SABIO FRANCE SAS - DO NOT USE
"Sabio Ibérica, S.A."
Sabio Ltd
Sabre GLBL Inc
"SAFG Technologies, LLC"
SafriCloud PTY Ltd
SAGE GLOBAL SERVICES LIMITED
"Santander Bank, N.A."
SCAN HEALTH PLAN
Servion Global Solutions Private Limited
Servion T Global Solutions Limited
Shanghai Dhaben InfoTech Co Ltd
Siemens Healthcare GmbH
Siemens Healthineers AG
Silver Chain
SITA Switzerland Sarl
Sixbell Peru S.A.C
Sixtra Chile S.A.
Skylux Telelink Pvt Ltd - India
Smart Service Queensland
SNAM  S.p.A.
Softline Costa Rica
Softline International de Colombia S.A.S.
SOFTPHONE SRL
SoftwareONE AG
Spark New Zealand Trading Limited
Spark NZ Trading
"SRL Soluciones e Implementaciones, S.A. de C.V."
Star Telecom
Straticom
Strauss Water Ltd
Swisscom (Schweiz) AG
"Takeda Pharmaceuticals U.S.A., Inc."
Tata Communications Limited
Tekglide Inc
Telconet S.A.
Telefonica Soluciones de Informatica Y Comunicaciones De España SAU
Telenet BV
Telenet BVBA
Telstra Singapore Pte Ltd
Telstra White Label
The Chamberlain Group LLC
"The Chamberlain Group,  Inc."
The Coca-Cola Company
"The PNC Financial Group, Inc."
"The Vanguard Group, Inc."
Thermo Fisher Scientific Inc
Thorlabs Inc.
Tieto Finland Oy
Tietoevry Finland Oy
Transat A.T. Inc.
TrueNorth
TSG IT Advanced Systems Ltd
TTEC Consulting (UK) Limited
"TTEC Digital, LLC dba Avtex"
"TTEC Digital, LLC fka Avtex Solutions, LLC"
Tykans Group Inc
"Tyler Technologies, Inc."
Uni Systems S.M.S.A.
Uninet S.A. de C.V.
Unisys Corporation
Unisystems SA
"Vanguard Asset Services, Ltd."
Vanguard Group Europe GmbH
Vanguard Investment Australia LTD
Veridian Solutions
Veritas Technologies
Veritas Technologies LLC
"Verizon Sourcing, LLC."
VF Services
"VF Services, LLC"
Virtual Global Digital Services Limited
Vodafone New Zealand
Vodafone New Zealand Limited
Voice Data Systems LLC
Voxai Solutions Inc.
VR Voice GmbH
Weld North Education
Weld North Education LLC
Wesal Information Technology Co.
Wescom Central Credit Union
Weyerhaeuser NR Company
WHIRLPOOL CORPORATION
Whirlpool UK Appliances Ltd.
Wipro Limited
WTI Holdings LLC
Ypiresia 800 - Teleperformance Single Member S.A
ZIM Integrated Shipping Services
















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































